IsEnabled1;Value11;Value12;Value13;IsEnabled2;Value21;Value22
False;4;7;66;False;570;3
False;2;5;464;False;291;6
False;2;2;184;False;1541;1
False;1;5;406;False;2019;3
False;3;3;483;False;1411;2
True;6;6;307;True;1200;2
False;0;6;240;True;1149;0
True;0;1;269;True;437;3
False;1;6;265;True;980;6
True;6;6;84;True;713;2
False;4;0;103;False;248;4
True;3;5;189;False;396;4
False;3;7;201;True;1414;0
True;1;6;319;True;2016;5
False;2;4;238;True;1216;6
False;3;7;9;False;1589;6
True;2;6;244;True;239;7
True;7;6;406;False;1250;5
False;3;2;394;True;588;6
True;7;7;25;True;1122;4
False;0;5;285;False;1358;2
True;6;3;180;False;888;6
False;2;3;466;True;239;5
True;4;3;83;True;1284;4
True;7;5;402;True;1714;4
False;3;7;398;False;725;2
True;7;7;346;False;1634;4
True;4;4;337;True;571;6
True;6;6;8;True;1734;1
True;5;4;342;True;1431;0
False;1;5;348;True;198;4
False;6;3;119;True;687;4
True;2;1;211;False;1382;1
True;0;2;218;True;1753;6
False;1;6;389;True;1405;5
False;5;3;196;True;1280;2
False;4;2;126;False;1189;4
False;5;0;33;True;1883;3
True;2;6;318;False;1649;0
True;7;3;165;True;404;7
False;3;3;414;False;772;7
True;1;7;472;True;606;4
False;0;4;216;False;866;7
False;3;7;94;False;1422;0
False;7;7;428;False;854;4
False;3;5;319;False;2020;0
True;1;2;17;False;1202;4
True;7;1;335;True;797;1
False;5;5;341;False;1715;2
True;6;1;231;False;1025;6
True;3;6;277;True;899;3
True;7;7;309;False;1172;2
False;6;0;34;False;1263;0
True;5;5;241;False;1117;0
False;1;2;413;False;809;4
True;5;3;182;True;604;4
False;0;2;510;False;51;1
False;5;6;396;False;1179;4
True;1;7;299;False;1227;6
False;0;4;84;False;686;0
True;6;6;256;False;489;5
False;3;1;199;True;1500;1
True;1;2;260;False;751;1
False;3;1;435;True;1596;5
False;5;1;32;True;1437;5
True;5;4;279;False;483;7
True;0;4;490;True;1061;2
True;2;5;279;True;583;1
True;0;0;442;True;610;0
False;5;0;42;False;1984;3
False;7;4;395;True;399;2
True;5;5;211;False;404;3
True;4;0;88;False;1649;4
False;3;6;12;False;1107;6
True;4;4;419;True;1272;4
True;6;5;108;False;1674;5
True;6;7;259;True;944;6
True;6;3;371;True;865;4
False;5;3;166;False;430;0
True;4;0;83;True;1742;3
False;1;5;165;False;446;5
False;0;6;11;True;836;3
True;7;6;507;False;904;3
False;0;5;73;False;1632;2
True;1;6;360;True;1454;4
True;1;5;38;True;1074;1
False;0;3;85;True;1472;3
False;5;3;481;True;264;1
False;7;7;316;False;944;2
True;3;2;207;False;801;1
False;5;1;198;False;1229;1
True;6;3;241;True;9;0
True;3;1;29;False;1579;4
True;2;2;234;False;963;0
False;1;5;420;False;1963;1
True;7;1;215;True;1319;5
False;0;5;212;True;1903;2
False;5;2;293;False;1317;1
False;6;5;358;False;907;2
False;1;3;445;True;1293;4
True;2;1;125;False;1881;5
False;7;4;249;False;618;3
False;7;1;405;True;186;1
False;0;5;83;False;654;6
True;7;4;347;False;625;4
False;6;0;66;True;495;0
False;3;7;5;False;446;5
True;2;2;317;True;1078;1
True;0;1;118;False;767;3
False;2;4;88;False;58;6
True;6;3;218;True;582;5
True;1;6;434;False;108;4
True;7;2;230;False;749;4
True;4;6;216;True;1532;2
True;6;6;214;True;1162;2
True;6;0;245;True;1700;1
True;3;2;499;True;1518;5
True;1;5;482;True;41;6
False;1;3;74;False;142;1
True;3;4;505;True;362;4
True;5;1;194;True;1058;3
False;3;0;9;False;797;1
False;3;5;258;False;562;6
False;5;5;18;True;732;6
True;7;6;355;True;754;2
False;0;1;154;False;390;2
True;1;4;478;True;1795;5
False;2;6;365;True;685;4
False;2;1;104;True;1191;4
False;5;2;500;True;875;6
True;6;0;408;False;1818;2
True;1;5;478;False;1675;4
True;0;6;12;True;2006;1
False;4;0;17;False;59;3
False;2;7;253;False;784;5
False;2;0;428;True;1875;1
True;0;4;118;True;649;2
True;7;1;208;False;1173;4
False;0;0;22;True;1929;5
True;3;5;294;False;959;4
False;6;5;328;False;1551;3
False;5;0;280;True;393;2
True;4;2;147;True;420;5
False;5;3;12;False;1809;3
True;4;6;284;False;1141;3
False;3;3;59;True;2043;4
True;6;0;307;False;183;3
True;6;2;324;False;46;2
True;3;3;315;False;723;5
False;2;4;175;True;262;0
False;4;7;11;True;723;7
False;6;7;25;True;736;4
True;3;7;218;False;1175;0
False;2;1;149;False;1467;5
True;3;1;251;False;235;1
False;7;0;116;False;1084;4
True;3;7;286;True;978;4
False;2;4;170;False;377;2
False;0;6;239;False;1947;3
False;7;3;193;False;235;2
False;4;4;395;False;1670;1
False;1;1;152;False;1808;0
True;0;1;509;True;809;4
True;3;6;425;True;813;4
True;3;3;192;True;287;3
False;5;6;251;False;955;0
False;1;0;422;True;149;2
True;3;2;213;False;690;1
True;2;7;258;False;1671;4
True;4;6;298;True;1334;0
True;5;4;422;True;1973;6
True;3;0;291;True;345;1
False;1;5;460;False;160;0
True;5;5;75;True;105;4
False;5;6;176;True;859;0
False;0;1;426;True;664;1
False;6;5;157;False;1299;3
False;6;1;246;False;801;2
False;0;7;245;False;1639;2
True;4;3;80;False;1682;4
False;1;0;143;True;1129;6
True;2;1;154;True;1749;3
False;6;2;346;False;885;6
False;0;5;440;True;928;4
True;0;3;272;False;1075;6
False;0;1;166;True;2004;5
True;5;5;259;False;500;4
False;6;4;159;False;1462;3
False;0;7;277;True;1871;1
True;2;6;137;False;1748;0
True;6;0;437;True;1819;4
True;6;7;459;False;272;0
True;7;3;480;True;1273;0
True;0;4;340;False;1694;3
False;7;0;411;True;1336;2
False;5;4;176;False;1791;2
True;4;7;66;True;506;5
False;1;4;233;True;1654;0
False;1;0;332;False;1521;0
False;7;7;32;False;186;3
False;2;3;149;True;1893;2
False;3;6;93;False;1541;1
False;4;3;361;True;1345;4
False;7;4;16;True;1436;4
False;4;7;48;True;1259;0
False;0;7;232;True;377;6
True;4;2;77;False;576;4
False;6;1;439;False;1992;3
True;4;2;484;False;607;5
False;3;0;121;False;493;7
True;0;3;470;True;1832;0
False;5;5;40;True;177;2
True;1;5;220;True;1708;6
False;3;2;455;True;1187;6
True;5;3;346;False;28;3
False;1;3;25;True;843;5
True;2;6;101;True;1845;1
True;0;4;364;True;803;7
True;2;3;449;False;661;5
True;3;2;322;True;1253;4
True;7;0;288;True;1377;3
True;2;3;46;True;1658;5
False;3;3;231;False;1789;6
True;7;0;121;False;1971;3
False;6;5;157;True;437;3
False;7;4;474;False;1701;6
False;4;4;322;True;1119;0
True;0;1;416;True;1436;3
False;6;4;176;True;816;1
False;0;2;296;False;2039;4
True;3;1;143;False;1081;3
False;5;1;436;False;1692;2
False;5;1;426;True;1327;1
False;1;7;508;True;327;7
False;2;0;443;False;1836;1
False;6;1;49;True;1636;4
True;6;5;88;True;1326;6
False;7;5;329;True;1496;1
True;3;5;391;False;1717;3
True;0;4;39;True;697;0
False;3;6;88;True;1428;1
False;7;3;332;True;555;0
False;1;2;483;False;1777;5
False;5;6;452;False;253;2
False;2;3;475;True;837;7
False;1;3;396;False;1642;2
False;5;2;23;True;1534;0
False;4;1;321;True;1008;1
True;2;0;506;True;1665;0
True;5;5;169;False;1416;4
True;2;6;74;True;1993;0
True;3;3;510;False;625;5
True;6;0;80;False;1916;2
True;5;5;305;False;1190;3
True;7;6;40;False;1779;6
True;7;7;398;True;1157;4
True;7;2;158;True;674;2
True;4;2;240;True;1422;0
False;1;7;370;True;998;1
False;5;2;382;True;480;1
False;4;2;422;True;1305;5
False;4;1;173;False;1187;0
True;7;4;262;True;1175;2
True;4;0;188;False;616;0
False;7;6;489;True;1459;3
True;3;1;330;False;1063;5
False;0;4;126;True;897;0
True;0;6;7;True;255;7
False;1;2;12;True;1399;4
True;7;1;81;True;1362;5
True;2;5;232;True;439;6
True;3;0;284;True;348;0
True;4;6;484;False;1134;3
False;2;7;409;True;2011;4
False;0;4;233;False;1873;2
False;0;5;467;True;821;3
False;1;1;371;True;803;7
False;6;4;290;True;1535;4
True;5;5;453;True;7;4
True;4;2;273;False;843;0
False;2;2;451;True;166;6
True;7;2;297;True;1033;6
True;5;0;422;True;1818;2
True;0;7;302;False;323;4
False;5;3;221;True;45;4
True;7;5;440;False;1378;5
True;6;0;140;False;699;7
True;7;3;416;False;1060;5
False;1;0;468;True;596;0
True;2;0;340;False;1601;4
True;6;6;402;True;961;2
True;1;3;360;True;1951;5
False;6;6;470;True;497;0
True;6;2;9;True;1236;2
False;4;1;425;False;314;2
False;7;4;427;False;241;1
True;7;6;365;True;302;5
False;4;1;295;False;1161;5
True;5;7;258;False;1764;5
False;6;1;145;True;1822;1
False;1;7;269;True;744;2
False;4;4;311;True;153;1
False;3;7;92;False;532;4
False;3;6;208;False;1226;2
True;2;0;233;False;1899;5
False;7;5;302;True;1644;0
True;6;4;25;False;1539;1
True;4;1;478;True;826;5
False;5;1;72;False;1365;0
True;7;1;85;False;957;3
False;6;6;323;True;1276;4
False;1;6;163;True;61;5
False;7;4;82;True;289;4
False;4;4;97;True;155;1
True;2;0;227;True;1236;2
False;4;7;420;True;1194;6
True;6;0;47;False;291;5
False;7;5;255;False;1775;5
True;7;4;262;False;1493;3
True;7;0;345;False;1004;5
False;5;0;486;True;1286;5
True;0;0;6;False;760;2
False;7;5;51;True;1706;6
False;6;1;480;True;720;7
True;0;3;190;True;400;3
True;0;2;384;True;535;0
False;5;1;109;True;773;7
False;6;3;475;True;1945;0
True;5;5;496;False;1697;2
False;1;7;317;True;1631;1
True;0;6;397;True;1441;5
False;5;7;75;True;1690;1
True;0;5;327;False;694;6
False;7;3;308;False;233;2
True;3;3;299;False;1021;5
True;5;5;139;False;13;5
True;4;3;204;True;501;2
False;2;2;213;True;592;0
True;5;6;365;True;1394;5
False;6;5;430;True;448;3
False;1;1;415;False;1887;3
True;1;7;173;False;1920;1
False;2;2;344;False;1743;4
True;1;6;166;True;562;4
True;4;1;16;True;324;0
False;5;0;23;False;1823;4
True;2;6;277;False;1662;1
True;1;2;157;False;1265;6
True;3;2;78;True;922;7
True;7;1;300;False;42;3
False;0;4;164;False;873;3
False;0;1;406;False;1498;6
True;4;4;32;False;1716;1
False;6;6;425;True;759;0
False;1;1;467;False;1458;3
True;0;7;47;True;907;7
True;4;6;43;False;1418;1
True;4;5;420;True;733;4
False;2;3;314;False;1748;6
True;1;6;360;False;1363;5
True;1;4;489;True;1793;0
True;0;1;62;False;1641;0
True;6;3;493;False;1177;2
False;4;2;50;False;656;6
True;6;3;495;True;437;5
False;1;7;247;False;1634;2
True;0;1;132;False;290;6
True;7;0;286;False;56;2
True;0;1;94;False;57;3
True;4;2;383;False;98;5
True;7;3;216;False;693;4
False;4;6;345;False;1746;4
False;1;7;401;False;380;0
False;1;7;343;False;1044;0
True;6;7;441;True;1164;1
False;3;1;312;True;1414;3
False;6;5;469;False;1987;4
True;5;7;396;True;1143;2
True;1;0;464;False;396;7
False;3;2;463;False;1548;5
False;6;3;402;False;1844;5
True;3;7;463;False;1556;0
False;2;1;181;False;1946;0
False;6;3;492;True;529;7
True;0;3;449;False;1681;5
False;0;5;287;False;866;6
False;0;3;339;False;897;7
True;2;6;413;False;1982;5
True;5;2;137;True;1745;5
True;2;4;35;True;1036;5
True;0;7;95;False;643;3
False;0;6;79;True;690;5
False;0;7;194;False;1815;0
True;3;0;5;True;31;0
True;4;1;453;True;702;2
False;0;0;353;False;246;3
False;3;3;488;False;1665;6
True;5;7;77;False;2010;5
True;2;2;479;False;1047;6
False;3;2;64;False;1661;4
True;4;7;186;True;407;6
True;2;5;287;True;480;7
False;1;1;63;False;1208;3
True;6;7;206;False;824;2
False;0;6;379;True;271;6
False;4;5;114;True;49;6
False;7;1;4;False;1118;6
True;3;5;200;True;671;1
True;7;6;279;True;517;6
False;6;7;154;True;43;0
False;2;1;90;False;968;2
False;7;6;454;True;1196;6
True;2;5;252;False;1260;4
True;6;0;363;True;199;1
True;3;2;254;True;441;7
True;5;4;25;True;237;0
False;6;7;176;True;617;7
False;0;0;297;False;1570;2
True;3;7;112;True;1022;0
True;6;6;503;False;494;6
True;0;4;204;True;1659;2
True;5;2;230;True;355;0
False;2;6;444;False;1281;3
True;5;4;354;False;1991;4
True;3;3;287;False;1503;1
False;7;5;432;False;925;6
True;3;7;150;False;1979;3
True;5;6;396;True;348;0
False;4;5;186;False;1264;5
False;6;7;384;False;1841;5
True;7;5;119;False;672;4
True;0;6;175;False;900;6
True;2;5;213;False;1019;3
False;6;5;399;False;783;2
True;6;2;60;True;15;7
True;3;6;410;False;238;6
True;2;6;184;False;1271;4
False;3;1;270;True;2044;5
False;6;5;112;False;258;1
False;4;5;118;True;506;7
False;1;3;67;False;671;7
True;4;5;138;True;225;6
False;3;7;429;False;339;7
True;7;2;494;True;1701;5
True;0;3;457;False;68;3
True;1;0;449;True;368;4
False;5;0;339;False;1478;0
False;1;6;127;False;490;7
True;7;5;46;True;512;0
True;6;4;427;False;465;2
False;2;0;472;False;551;3
True;2;3;191;False;95;4
False;2;0;477;False;987;5
True;3;3;487;True;552;0
True;2;6;371;False;1;2
False;7;4;468;True;51;6
True;0;7;354;False;1247;3
False;3;4;4;True;139;6
True;2;4;431;True;1368;0
True;0;0;243;False;269;7
False;0;6;475;False;118;2
False;1;3;119;False;769;6
False;7;7;309;False;330;3
False;1;7;406;False;724;0
False;6;1;331;False;294;3
False;1;3;210;True;990;3
True;4;1;241;True;177;3
True;4;7;364;True;476;2
False;0;6;86;False;1107;1
False;0;4;355;False;203;1
False;3;6;136;False;1937;2
True;2;6;418;True;620;1
False;2;2;184;False;1312;1
False;7;1;290;True;1438;0
True;5;3;220;False;746;6
False;4;6;361;True;308;4
True;2;3;96;False;939;0
False;2;3;246;False;502;5
False;5;1;409;True;1922;1
False;2;3;134;False;9;5
True;1;5;93;False;1495;5
True;2;1;319;True;363;4
True;5;0;134;False;759;7
False;5;0;271;True;798;3
True;3;7;424;True;1289;2
True;4;2;440;True;576;0
True;6;5;210;True;1960;0
True;6;1;238;False;466;3
True;3;7;27;False;782;0
True;7;5;103;True;2011;0
True;2;7;55;False;1039;2
False;7;1;476;False;6;6
False;0;5;350;True;675;5
False;5;5;165;True;911;1
False;4;7;154;False;388;5
True;7;7;459;True;1949;0
False;5;5;340;False;1943;2
True;1;0;23;False;1663;6
False;1;1;163;True;1407;2
False;7;7;30;True;0;7
False;5;6;207;False;191;1
True;0;1;270;False;1924;5
False;1;0;41;False;1431;5
True;7;1;499;True;1231;6
False;3;6;74;False;1499;6
False;7;1;53;True;1978;1
False;0;1;7;False;831;2
True;2;6;186;True;1596;4
False;6;7;50;True;729;1
False;6;7;305;False;615;5
False;4;1;372;True;1160;5
False;6;3;404;True;1667;5
False;6;2;107;True;264;4
True;0;1;81;True;234;3
True;6;2;149;False;822;1
True;5;4;452;False;677;5
False;3;2;281;True;932;6
False;2;7;334;False;454;7
False;5;7;277;False;357;5
True;1;7;402;False;1765;2
True;2;5;511;True;1077;2
True;5;7;298;False;634;7
True;0;0;337;True;1742;1
True;0;0;495;False;1143;0
False;5;4;83;False;87;6
False;4;4;468;False;805;4
False;2;1;364;True;867;3
False;5;4;18;True;400;0
False;3;2;431;False;1973;2
True;5;3;272;False;844;5
False;7;0;21;True;413;1
True;0;3;369;True;198;1
False;1;2;83;True;1142;2
True;5;1;162;False;797;2
False;5;4;438;True;1865;3
False;1;4;119;True;493;7
True;1;1;62;True;1903;5
True;5;6;146;False;1575;0
True;1;2;492;False;222;4
False;4;5;371;False;1359;0

