Packet;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5;Channel 6
786788;-352922009,6;-346043677,8666667;-9248567,466666667;869892,2666666667;22843520;23336891,733333334
786789;425033122,1333333;417178542,93333334;-9240789,333333334;871257,6;22844893,866666667;81522483,2
786790;-299053469,8666667;-297244539,73333335;-9255496,533333333;855364,2666666667;22858752;24658491,733333334
786791;-33255257,6;-30645290,666666668;-9253388,8;837909,3333333334;22848793,6;79843980,8
786792;307663180,8;299472081,06666666;-9259810,133333333;865587,2;22874572,8;26656772,266666666
786793;-449597201,06666666;-443022779,73333335;-9247372,8;849335,4666666667;22851840;77546705,06666666
786794;301155537,06666666;297242103,46666664;-9235306,666666666;855150,9333333333;22861939,2;29258905,6
786795;-23880012,8;-27443601,066666666;-9252599,466666667;852552,5333333333;22867626,666666668;74637081,6
786796;-306098726,4;-299653017,6;-9268010,666666666;812505,6;22834892,8;32490397,866666667
786797;425754794,6666667;417482248,53333336;-9236356,266666668;870434,1333333333;22882585,6;71160891,73333333
786798;-346969868,8;-344014583,46666664;-9228091,733333332;878242,1333333333;22886784;36196104,53333333
786799;35022229,333333336;36477883,733333334;-9233454,933333334;841075,2;22857655,466666665;67252420,26666667
786800;257063897,6;249420488,53333333;-9235630,933333334;850005,3333333334;22859016,533333335;40268889,6
786801;-444961177,6;-437987238,4;-9222370,133333333;854886,4;22865113,6;63033326,93333333
786802;345119065,6;340114730,6666667;-9247125,333333334;835899,7333333333;22859165,866666667;44677853,86666667
786803;-91787012,26666667;-94146393,6;-9261397,333333334;855714,1333333333;22859357,866666667;58508471,46666667
786804;-252138521,6;-246316484,26666668;-9234837,333333334;871270,4;22871163,733333334;49267639,46666667
786805;415866363,73333335;407254314,6666667;-9254092,8;844347,7333333333;22848768;53839027,2
786806;-386673949,8666667;-382670331,73333335;-9236979,2;860885,3333333334;22886323,2;53949956,266666666
786807;102222037,33333333;102447598,93333334;-9247342,933333334;844373,3333333334;22842325,333333332;49171532,8
786808;199951492,26666668;192998237,86666667;-9251370,666666666;839534,9333333333;22853410,133333333;58596232,53333333
786809;-429838519,46666664;-422659281,06666666;-9234163,2;851221,3333333334;22856486,4;44595016,53333333
786810;380315426,1333333;374314858,6666667;-9254924,8;835797,3333333334;22851387,733333334;63091972,266666666
786811;-157762935,46666667;-158920610,13333333;-9246890,666666666;856759,4666666667;22856021,333333332;40196492,8
786812;-192295278,93333334;-187276083,2;-9257369,6;836787,2;22853043,2;67352759,46666667
786813;395626397,8666667;386908765,8666667;-9230498,133333333;867392;22867746,133333333;36070771,2
786814;-417319756,8;-412365218,1333333;-9255931,733333332;853836,8;22870382,933333334;71252305,06666666
786815;166601062,4;165603682,13333333;-9234500,266666668;858073,6;22856089,6;32390702,933333334
786816;137693060,26666668;131603686,4;-9257254,4;853371,7333333333;22870894,933333334;74684147,2
786817;-404494702,93333334;-397321595,73333335;-9251857,066666666;834397,8666666667;22850683,733333334;29233006,933333334
786818;406056136,53333336;399214630,4;-9232396,8;858218,6666666666;22866112;77598583,46666667
786819;-220179050,66666666;-220035042,13333333;-9254728,533333333;859161,6;22851916,8;26598634,666666668
786820;-128150523,73333333;-124018982,4;-9245435,733333332;828330,6666666666;22841565,866666667;79875660,8
786821;365433053,8666667;356815283,2;-9224042,666666666;866743,4666666667;22895765,333333332;24593450,666666668
786822;-438037102,93333334;-432302570,6666667;-9249557,333333334;840576;22866018,133333333;81578560
786823;226654391,46666667;224423210,66666666;-9237149,866666667;850227,2;22854199,466666665;23310173,866666667
786824;71820492,8;66717875,2;-9264392,533333333;838067,2;22828578,133333333;82518702,93333334
786825;-369673557,3333333;-362664529,06666666;-9226858,666666666;863769,6;22831837,866666667;22753126,4
786826;421672631,46666664;414104776,53333336;-9213900,8;875797,3333333334;22875835,733333334;82734374,4
786827;-277469832,53333336;-276130257,06666666;-9259635,2;842713,6;22828108,8;22883925,333333332
786828;-61031837,86666667;-57969480,53333333;-9217250,133333333;857587,2;22846971,733333334;82236027,73333333
786829;326140923,73333335;317777689,6;-9250705,066666666;848686,9333333333;22850794,666666668;23744089,6
786830;-448383569,06666666;-441996411,73333335;-9248691,2;834901,3333333334;22826641,066666666;81029879,46666667
786831;280995596,8;277568098,1333333;-9230843,733333332;855931,7333333333;22850692,266666666;25311048,533333335
786832;3979289,6;-32371,2;-9264494,933333334;856640;22827217,066666666;79082308,26666667
786833;-326088051,2;-319436936,53333336;-9240302,933333334;864776,5333333333;22834722,133333333;27531234,133333333
786834;426749094,4;418621235,2;-9241757,866666667;859950,9333333333;22831351,466666665;76516407,46666667
786835;-328353745,06666666;-325831108,26666665;-9258508,8;857949,8666666667;22841638,4;30424200,533333335
786836;7242956,8;9178534,4;-9242022,4;865608,5333333333;22841907,2;73410820,26666667
786837;278551534,93333334;270670058,6666667;-9252245,333333334;858180,2666666667;22876919,466666665;33796292,266666666
786838;-448133516,8;-441317632;-9250850,133333333;830139,7333333333;22839756,8;69768721,06666666
786839;328123072;323560166,4;-9220919,466666667;865527,4666666667;22859584;37637277,86666667
786840;-64288452,266666666;-67132023,46666667;-9269137,066666666;835515,7333333333;22821580,8;65730880
786841;-274912614,4;-268809753,6;-9229380,266666668;878297,6;22859481,6;41889305,6
786842;421170636,8;412681305,6;-9253986,133333333;867584;22838873,6;61372300,8
786843;-371543496,53333336;-367938389,3333333;-9243212,8;867946,6666666666;22854549,333333332;46374365,86666667
786844;75096140,8;75838156,8;-9240669,866666667;866304;22848934,4;56783718,4
786845;223963635,2;216728541,86666667;-9259690,666666666;852834,1333333333;22838835,2;50993753,6
786846;-437259217,06666666;-430116620,8;-9216947,2;886007,4666666667;22866419,2;52109964,8
786847;367080238,93333334;361473245,8666667;-9248546,133333333;848290,1333333333;22859123,2;55662741,333333336
786848;-131220936,53333333;-132857885,86666666;-9229013,333333334;876292,2666666667;22870519,466666665;47459392
786849;-217294818,13333333;-211916834,13333333;-9221580,8;859127,4666666667;22851434,666666668;60285218,13333333
786850;405105476,26666665;396425962,6666667;-9240209,066666666;879219,2;22852083,2;42916608
786851;-405976524,8;-401392516,26666665;-9239027,2;882653,8666666667;22877384,533333335;64738141,86666667
786852;140825988,26666668;140328768;-9241642,666666666;852292,2666666667;22836646,4;38642875,733333334
786853;163599270,4;157146065,06666666;-9240311,466666667;868275,2;22859089,066666666;68853760
786854;-416005742,93333334;-408795643,73333335;-9223782,4;873271,4666666667;22840349,866666667;34697890,13333333
786855;396783790,93333334;390268228,26666665;-9226406,4;871982,9333333333;22836224;72567667,2
786856;-195211763,2;-195597512,53333333;-9267396,266666668;850380,8;22807210,666666668;31167735,466666665
786857;-154715148,8;-150213747,2;-9227694,933333334;873591,4666666667;22828023,466666665;75830690,13333334
786858;378897749,3333333;370215112,53333336;-9265762,133333333;853781,3333333334;22811784,533333335;28171191,466666665
786859;-430808004,26666665;-425368977,06666666;-9268902,4;845422,9333333333;22812522,666666668;78533922,13333334
786860;202873591,46666667;201151658,66666666;-9219234,133333333;890043,7333333333;22860544;25772454,4
786861;99023347,2;93494668,8;-9250952,533333333;874188,8;22834935,466666665;80606327,46666667
786862;-384955127,46666664;-377845030,4;-9231257,6;858534,4;22828407,466666665;24056541,866666667
786863;416565636,26666665;409276036,26666665;-9238003,2;868334,9333333333;22841911,466666665;81976810,66666667
786864;-254842568,53333333;-253983978,66666666;-9277661,866666667;857339,7333333333;22824964,266666666;23011144,533333335
786865;-88638967,46666667;-85122478,93333334;-9233399,466666667;856665,6;22839872;82678314,66666667
786866;343133077,3333333;334661009,06666666;-9251673,6;856785,0666666667;22815701,333333332;22686481,066666666
786867;-445485175,46666664;-439334203,73333335;-9255863,466666667;858218,6666666666;22813700,266666666;82663074,13333334
786868;259643084,8;256717760;-9218432;870792,5333333333;22843225,6;23102336
786869;31776537,6;27311590,4;-9247697,066666666;850513,0666666667;22834867,2;81864179,2
786870;-344821751,46666664;-338011400,53333336;-9217911,466666667;862698,6666666666;22833070,933333334;24261781,333333332
786871;425972633,6;418037269,3333333;-9234005,333333334;869226,6666666666;22834756,266666666;80365320,53333333
786872;-308513809,06666666;-306465237,3333333;-9264256;858026,6666666666;22837491,2;26076245,333333332
786873;-20643221,333333332;-18213781,333333332;-9221077,333333334;870510,9333333333;22840477,866666667;78223278,93333334
786874;298852608;290771118,93333334;-9249053,866666667;861166,9333333333;22822062,933333334;28549171,2
786875;-449494331,73333335;-442824064;-9238067,2;863782,4;22837269,333333332;75486195,2
786876;309909141,3333333;305820010,6666667;-9215159,466666667;884398,9333333333;22840507,733333334;31619741,866666667
786877;-36467328;-39795251,2;-9264631,466666667;843362,1333333333;22808925,866666667;72149094,4
786878;-296582536,53333336;-290242705,06666666;-9219421,866666667;877060,2666666667;22842376,533333335;35196458,666666664
786879;424759261,8666667;416376541,8666667;-9245649,066666666;844433,0666666667;22815906,133333333;68313757,86666666
786880;-354945280;-351786931,2;-9272678,4;852002,1333333333;22823978,666666668;39187485,86666667
786881;47592128;48832354,13333333;-9227562,666666666;856716,8;22827758,933333334;64131101,86666667
786882;246968883,2;239430263,46666667;-9231069,866666667;865745,0666666667;22850500,266666666;43511910,4
786883;-442956206,93333334;-435932808,53333336;-9251349,333333334;831756,8;22813474,133333333;59702954,666666664
786884;352278519,46666664;347093717,3333333;-9227409,066666666;863987,2;22831342,933333334;48049514,666666664
786885;-104191466,66666667;-106325102,93333334;-9229836,8;871914,6666666666;22838912;55078788,266666666
786886;-241466734,93333334;-235781482,66666666;-9265557,333333334;839185,0666666667;22808524,8;52733538,13333333
786887;412930807,46666664;404287496,53333336;-9244177,066666666;850022,4;22820279,466666665;50368345,6
786888;-393080490,6666667;-388850675,2;-9227289,6;865877,3333333334;22864371,2;57406310,4
786889;114348142,93333334;114385540,26666667;-9231010,133333333;840123,7333333333;22833467,733333334;45743965,86666667
786890;188776209,06666666;182006890,66666666;-9236505,6;857856;22856345,6;61956023,46666667
786891;-425913245,8666667;-418687257,6;-9200588,8;879620,2666666667;22881467,733333334;41316433,06666667
786892;385880115,2;379729019,73333335;-9262126,933333334;830762,6666666666;22806536,533333335;66270894,93333333
786893;-169575854,93333334;-170468232,53333333;-9233962,666666666;884121,6;22876949,333333332;37135406,93333333
786894;-180727389,86666667;-175844932,26666668;-9233301,333333334;863086,9333333333;22854075,733333334;70292569,6
786895;390777489,06666666;382081190,4;-9242116,266666668;860177,0666666667;22842380,8;33315588,266666666
786896;-421919530,6666667;-416797700,26666665;-9245683,2;851063,4666666667;22844066,133333333;73872149,33333333
786897;178073894,4;176858683,73333332;-9225416,533333333;853128,5333333333;22840908,8;30012710,4
786898;125721672,53333333;119836898,13333334;-9240516,266666668;875989,3333333334;22865450,666666668;76917115,73333333
786899;-398729962,6666667;-391566152,53333336;-9211161,6;866995,2;22867682,133333333;27229128,533333335
786900;409757943,46666664;402748676,26666665;-9253158,4;842790,4;22826726,4;79369945,6
786901;-231150758,4;-230829956,26666668;-9248652,8;861529,6;22840042,666666668;25086199,466666665
786902;-115861444,26666667;-111951232;-9198549,333333334;860697,6;22858141,866666667;81221457,06666666
786903;358857548,8;350267310,93333334;-9243878,4;854690,1333333333;22850743,466666665;23601518,933333334
786904;-440707008;-434836471,46666664;-9224721,066666666;875153,0666666667;22867754,666666668;82364100,26666667
786905;237235200;234785860,26666668;-9247918,933333334;852992;22842572,8;22807342,933333334
786906;59378982,4;54464947,2;-9242321,066666666;883840;22870284,8;82760051,2
786907;-362225937,06666666;-355296093,8666667;-9231189,333333334;854946,1333333333;22839040;22773350,4
786908;423461201,06666666;415766370,1333333;-9245504;827716,2666666667;22824682,666666668;82440260,26666667
786909;-287389282,1333333;-285842773,3333333;-9220522,666666666;875221,3333333334;22866077,866666667;23456064
786910;-48476053,333333336;-45610286,93333333;-9218705,066666666;855415,4666666667;22831786,666666668;81378022,4
786911;317882274,1333333;309609510,4;-9243648;855863,4666666667;22821474,133333333;24816221,866666667
786912;-449148104,53333336;-442670523,73333335;-9237879,466666667;846950,4;22816128;79663479,46666667
786913;290270630,4;286646272;-9243716,266666668;839556,2666666667;22825139,2;26867008
786914;-8677184;-12471470,933333334;-9228326,4;883221,3333333334;22871261,866666667;77238276,26666667
786915;-317182003,2;-310615394,1333333;-9217984;858577,0666666667;22857625,6;29586564,266666666
786916;426549610,6666667;418345412,26666665;-9247458,133333333;842675,2;22839820,8;74249783,46666667
786917;-336928260,26666665;-334198792,53333336;-9236795,733333332;839381,3333333334;22852347,733333334;32902353,066666666
786918;19915869,866666667;21630515,2;-9236181,333333334;820885,3333333334;22834909,866666667;70777002,66666667
786919;268960102,4;261187374,93333334;-9232183,466666667;841433,6;22868194,133333333;36610261,333333336
786920;-446929710,93333334;-440016733,8666667;-9220526,933333334;843059,2;22860215,466666665;66808405,333333336
786921;335993681,06666666;331247389,8666667;-9243899,733333332;833501,8666666667;22848597,333333332;40736550,4
786922;-76832529,06666666;-79434726,4;-9223432,533333333;881962,6666666666;22868441,6;62546329,6
786923;-264681877,33333334;-258709427,2;-9228821,333333334;864298,6666666666;22847957,333333332;45188872,53333333
786924;419007355,73333335;410445333,3333333;-9230208;860228,2666666667;22833544,533333335;57988053,333333336
786925;-378595281,06666666;-374816827,73333335;-9243276,8;851707,7333333333;22853499,733333334;49801390,93333333
786926;87485205,33333333;87981098,66666667;-9223522,133333333;873984;22865143,466666665;53330948,266666666
786927;213178999,46666667;206031185,06666666;-9250184,533333333;863552;22857331,2;54462536,53333333
786928;-434072601,6;-426955481,6;-9236966,4;869674,6666666666;22834436,266666666;48657668,266666666
786929;373306965,3333333;367497254,4;-9221431,466666667;883835,7333333333;22863598,933333334;59082295,46666667
786930;-143311816,53333333;-144746717,86666667;-9252215,466666667;860556,8;22856072,533333335;44089864,53333333
786931;-206036420,26666668;-200857894,4;-9224358,4;871624,5333333333;22864298,666666668;63576268,8
786932;401030988,8;392293448,53333336;-9261017,6;848844,8;22827938,133333333;39712298,666666664
786933;-411271867,73333335;-406564023,46666664;-9235558,4;859746,1333333333;22865962,666666668;67813661,86666666
786934;152641962,66666666;151898969,6;-9209352,533333333;873655,4666666667;22848546,133333333;35657745,06666667
786935;151969753,6;145633390,93333334;-9247662,933333334;857378,1333333333;22850662,4;71670092,8
786936;-410959441,06666666;-403793002,6666667;-9232140,8;849459,2;22835063,466666665;32028462,933333334
786937;401233467,73333335;394545373,8666667;-9243524,266666668;859046,4;22851259,733333334;75022400
786938;-206630370,13333333;-206809514,66666666;-9242278,4;856776,5333333333;22860467,2;28896435,2
786939;-142677316,26666668;-138358459,73333332;-9232934,4;859613,8666666667;22851255,466666665;77883899,73333333
786940;373031360;364332898,1333333;-9240964,266666668;863859,2;22844057,6;26328290,133333333
786941;-434293435,73333335;-428734284,8;-9235776;860898,1333333333;22826060,8;80141926,4
786942;213811353,6;211835916,8;-9229713,066666666;852480;22825058,133333333;24432345,6
786943;86772164,26666667;81423330,13333334;-9255846,4;854711,4666666667;22856183,466666665;81708117,33333333
786944;-378176226,1333333;-371107840;-9236629,333333334;850483,2;22849002,666666668;23223590,4
786945;419124044,8;411699430,4;-9233834,666666666;855052,8;22863628,8;82552093,86666666
786946;-265247782,4;-264181713,06666666;-9277508,266666668;827285,3333333334;22846907,733333334;22715046,4
786947;-76164151,46666667;-72853768,53333333;-9220049,066666666;868595,2;22873621,333333332;82703052,8
786948;335591257,6;327163310,93333334;-9261290,666666666;843272,5333333333;22852066,133333333;22922692,266666666
786949;-447022058,6666667;-440781393,06666666;-9270643,2;842606,9333333333;22851379,2;82143722,66666667
786950;269484224;266306423,46666667;-9216857,6;870502,4;22896981,333333332;23869666,133333333
786951;19209250,133333333;14922205,866666667;-9265536;843665,0666666667;22868825,6;80833664
786952;-336455488;-329738244,26666665;-9251020,8;841779,2;22858419,2;25530193,066666666
786953;426556296,53333336;418493273,6;-9259251,2;847854,9333333333;22854301,866666667;78824384
786954;-317640179,2;-315428288;-9260701,866666667;853875,2;22859886,933333334;27863424
786955;-7959411,2;-5789149,866666666;-9225348,266666668;867106,1333333333;22873467,733333334;76214732,8
786956;289806920,53333336;281785036,8;-9269009,066666666;857553,0666666667;22866641,066666666;30762359,466666665
786957;-449087372,8;-442351842,1333333;-9241126,4;875980,8;22874773,333333332;73050427,73333333
786958;318376580,26666665;314033578,6666667;-9233143,466666667;855697,0666666667;22875404,8;34190434,13333333
786959;-49160119,46666667;-52288981,333333336;-9250414,933333334;853397,3333333334;22863368,533333335;69351965,86666666
786960;-286895355,73333335;-280689557,3333333;-9237580,8;859605,3333333334;22862331,733333334;38108791,46666667
786961;423332599,46666664;414856900,26666665;-9253811,2;855091,2;22860279,466666665;65252134,4
786962;-362655876,26666665;-359305638,4;-9216917,333333334;911577,6;22914986,666666668;42372778,666666664
786963;60083622,4;61090316,8;-9218606,933333334;870254,9333333333;22874474,666666668;60869081,6
786964;236622562,13333333;229213717,33333334;-9264017,066666666;843511,4666666667;22851204,266666666;46875225,6
786965;-440575351,46666664;-433492919,46666664;-9239108,266666668;854003,2;22826909,866666667;56287526,4
786966;359208507,73333335;353840695,46666664;-9243268,266666668;879104;22844680,533333335;51506816
786967;-116511091,2;-118415680;-9245559,466666667;871859,2;22849979,733333334;51597572,266666666
786968;-230590737,06666666;-225053290,66666666;-9228181,333333334;874828,8;22850312,533333335;56193672,53333333
786969;409595246,93333334;400921787,73333335;-9232145,066666666;876040,5333333333;22846429,866666667;46937386,666666664
786970;-399115136;-394741811,2;-9260450,133333333;845909,3333333334;22850773,333333332;60794035,2
786971;126470280,53333333;126255180,8;-9239539,2;850542,9333333333;22862839,466666665;42409480,53333333
786972;177428450,13333333;170795622,4;-9230050,133333333;872456,5333333333;22889617,066666666;65159641,6
786973;-421646728,53333336;-414430993,06666666;-9263466,666666666;838741,3333333334;22842538,666666668;38177890,13333333
786974;391022131,2;384721075,2;-9207044,266666668;886950,4;22900582,4;69278054,4
786975;-181295385,6;-181949457,06666666;-9262839,466666667;850005,3333333334;22857907,2;34294007,46666667
786976;-168963712;-164252147,2;-9256994,133333333;853742,9333333333;22845888;72974088,53333333
786977;385589073,06666666;376893341,8666667;-9249873,066666666;868710,4;22873254,4;30821252,266666666
786978;-426131379,2;-420881267,2;-9234018,133333333;872780,8;22889160,533333335;76196778,66666667
786979;189436334,93333334;187983304,53333333;-9258171,733333332;841527,4666666667;22843438,933333334;27899050,666666668
786980;113675609,6;107937629,86666666;-9264546,133333333;857305,6;22862984,533333335;78803810,13333334
786981;-392676633,6;-385533149,8666667;-9222126,933333334;881378,1333333333;22872622,933333334;25587528,533333335
786982;413084061,8666667;405941452,8;-9255466,666666666;848742,4;22856546,133333333;80774929,06666666
786983;-242005798,4;-241424614,4;-9251712;867656,5333333333;22867234,133333333;23923110,4
786984;-103518967,46666667;-99755741,86666666;-9236014,933333334;855441,0666666667;22866197,333333332;82118216,53333333
786985;351918408,53333336;343379677,8666667;-9262779,733333332;867315,2;22855022,933333334;22924010,666666668
786986;-443096247,46666664;-437074163,2;-9233877,333333334;877354,6666666666;22864183,466666665;82731276,8
786987;247530892,8;244873437,86666667;-9222297,6;884394,6666666666;22882414,933333334;22708748,8
786988;46851921,06666667;42156714,666666664;-9264409,6;861367,4666666667;22869312;82601335,46666667
786989;-354517457,06666666;-347597700,26666665;-9228070,4;872068,2666666667;22872780,8;23222246,4
786990;424799923,2;417019511,46666664;-9232115,2;883396,2666666667;22889762,133333333;81747822,93333334
786991;-297106952,53333336;-295324100,26666665;-9254080;861017,6;22878523,733333334;24442346,666666668
786992;-35821085,86666667;-33155494,4;-9234291,2;877491,2;22858965,333333332;80169523,2
786993;309411630,93333334;301222749,8666667;-9252774,4;877077,3333333334;22877047,466666665;26314914,133333333
786994;-449544008,53333336;-442954888,53333336;-9243579,733333332;873258,6666666666;22865015,466666665;77963366,4
786995;299302848;295478937,6;-9231398,4;878101,3333333334;22890248,533333335;28836373,333333332
786996;-21302195,2;-24876369,066666666;-9282222,933333334;838562,1333333333;22852249,6;75118173,86666666
786997;-307956509,8666667;-301471522,1333333;-9239812,266666668;867123,2;22876684,8;31968691,2
786998;425953574,4;417677747,2;-9234717,866666667;872140,8;22886016;71706350,93333334
786999;-345280034,1333333;-342359880,53333336;-9279539,2;831266,1333333333;22856486,4;35618862,93333333
787000;32493875,2;33995473,06666667;-9206438,4;868872,5333333333;22881088;67861504
787001;259087684,26666668;251421474,13333333;-9272064;851643,7333333333;22856294,4;39633706,666666664
787002;-445352149,3333333;-438386675,2;-9256857,6;866163,2;22873169,066666666;63653367,46666667
787003;343558340,26666665;338604108,8;-9237533,866666667;869038,9333333333;22865198,933333334;43976093,86666667
787004;-89291929,6;-91705083,73333333;-9270677,333333334;833501,8666666667;22847317,333333332;59179050,666666664
787005;-254274240;-248448994,13333333;-9232405,333333334;840866,1333333333;22859020,8;48580825,6
787006;416477013,3333333;407857971,2;-9260979,2;840076,8;22840520,533333335;54551846,4
787007;-385316970,6666667;-381351513,6;-9235293,866666667;870199,4666666667;22897288,533333335;53265326,93333333
787008;99730419,2;100025237,33333333;-9229196,8;864418,1333333333;22886481,066666666;49857356,8
787009;202233745,06666666;195265809,06666666;-9267750,4;841629,8666666667;22880469,333333332;57914688
787010;-430569557,3333333;-423393966,93333334;-9237171,2;868654,9333333333;22867818,666666668;45266952,53333333
787011;379193932,8;373225915,73333335;-9247240,533333333;850730,6666666666;22872768;62434389,333333336
787012;-155319654,4;-156495927,46666667;-9248430,933333334;879603,2;22878101,333333332;40855616
787013;-194651997,86666667;-189580394,66666666;-9246131,2;854976;22849399,466666665;66757201,06666667
787014;396562188,8;387848674,1333333;-9242077,866666667;859938,1333333333;22855005,866666667;36693866,666666664
787015;-416323827,2;-411405678,93333334;-9242329,6;867549,8666666667;22869346,133333333;70724817,06666666
787016;164302732,8;163356893,86666667;-9225472;857467,7333333333;22863368,533333335;32946794,666666668
787017;140190229,33333334;134061009,06666666;-9240605,866666667;858897,0666666667;22866158,933333334;74231573,33333333
787018;-405597640,53333336;-398406246,4;-9228680,533333333;859852,8;22860219,733333334;29686297,6
787019;405331771,73333335;398509034,6666667;-9215526,4;867140,2666666667;22877094,4;77216311,46666667
787020;-217861670,4;-217784268,8;-9263415,466666667;864755,2;22846587,733333334;26948761,6
787021;-130578589,86666666;-126420006,4;-9254643,2;843596,8;22836074,666666668;79604680,53333333
787022;366773380,26666665;358125811,2;-9242449,066666666;880230,4;22871517,866666667;24850112
787023;-437419029,3333333;-431707310,93333334;-9252782,933333334;864456,5333333333;22874282,666666668;81364983,46666667
787024;224533184;222361736,53333333;-9225604,266666668;862515,2;22865625,6;23436902,4
787025;74377510,4;69245303,46666667;-9259946,666666666;857962,6666666666;22872371,2;82422028,8
787026;-371117538,1333333;-364089578,6666667;-9236343,466666667;863488;22880460,8;22761553,066666666
787027;421305685,3333333;413769830,4;-9234824,533333333;854041,6;22869397,333333332;82738065,06666666
787028;-275455876,26666665;-274146069,3333333;-9256081,066666666;846476,8;22873941,333333332;22806161,066666666
787029;-63598080;-60461393,06666667;-9262178,133333333;837384,5333333333;22843532,8;82337779,2
787030;327731174,4;319389969,06666666;-9232192;870634,6666666666;22898444,8;23561288,533333335
787031;-448222225,06666666;-441854280,53333336;-9237171,2;841292,8;22874184,533333335;81234436,26666667
787032;279054937,6;275687104;-9226077,866666667;860458,6666666666;22882525,866666667;25016055,466666665
787033;6522444,8;2466410,6666666665;-9282244,266666668;829162,6666666666;22838941,866666667;79419434,66666667
787034;-327846826,6666667;-321180010,6666667;-9229687,466666667;866560;22885051,733333334;27191556,266666666
787035;426770146,1333333;418671078,4;-9236693,333333334;866833,0666666667;22896157,866666667;76952981,33333333
787036;-326608614,4;-324119748,26666665;-9254126,933333334;858837,3333333334;22865548,8;29950515,2
787037;4661324,8;6652100,266666667;-9239274,666666666;858504,5333333333;22863449,6;73917789,86666666
787038;280479820,8;272594214,4;-9230826,666666666;881344;22891059,2;33263300,266666666
787039;-448306453,3333333;-441470412,8;-9242086,4;869166,9333333333;22881591,466666665;70361646,93333334
787040;326568567,46666664;322059063,46666664;-9218449,066666666;889928,5333333333;22898683,733333334;37045226,666666664
787041;-61748996,266666666;-64631308,8;-9256610,133333333;859494,4;22871146,666666668;66372740,266666666
787042;-276962316,8;-270835289,6;-9264025,6;842005,3333333334;22856541,866666667;41220727,46666667
